id,name,profile_path,known_for_department,popularity
116,키이라 나이틀리,/bRC1B2VwV0wK3ElciFAK6QZf2wD.jpg,Acting,6.6737
117,하워드 쇼어,/nJ606tXnL8vDVHi7qavrV292ljt.jpg,Sound,0.8924
118,제프리 러쉬,/npXFjaFQzBNroCEPllGPTZ5IisA.jpg,Acting,2.8161
123,Barrie M. Osborne,/xWtXYk6M5NFroddcQDviLlxOnkU.jpg,Production,0.6033
126,프렌 월시,/hbKBlzWwqgYMbSEfGaEkHB4Q2xn.jpg,Writing,1.5435
130,Kenny Baker,/kWwso57V7fr0jWnHfknlxxq7XXy.jpg,Acting,1.5739
131,제이크 질렌할,/rJdYHYNhlcOBwbPvDZVvt1xw7bi.jpg,Acting,9.53
132,Scott MacDonald,/pBXNUejSwDHfWCD9GgmvRbIPBdb.jpg,Acting,0.8325
133,피터 사스가드,/5UANyM4co2nwYPgSEmGeNlZRm7V.jpg,Acting,3.1345
134,제이미 폭스,/25zzvFA6yx2Q9BYnugsbd4JWDfu.jpg,Acting,4.1284
138,쿠엔틴 타란티노,/1gjcpAa99FAOWGnrUvHEXXsRs7o.jpg,Directing,5.7
139,우마 서먼,/sBgAZWi3o4FsnaTvnTNtK6jpQcF.jpg,Acting,7.1911
140,루시 리우,/9nbtjqsx3De7hO2XDtrBQ7M9VCH.jpg,Acting,5.603
141,데이비드 캐러딘,/1X2GlkMKS9FIG1kGou7o6LRqAjz.jpg,Acting,2.6048
147,마이클 매드슨,/fvr2EXEPrVwsF2JlfRp0Olbj4g8.jpg,Acting,2.392
150,RZA,/2PVYCKXb1X3PLawJNoYGLN1x0In.jpg,Sound,1.7478
155,Lucas Black,/w2oImwC4Y0RDtyvaKGTCFCKsvwh.jpg,Acting,2.6656
169,Hanns Zischler,/7A0smz1O5McRVmddt2oprvMNlxj.jpg,Acting,0.6383
172,마이클 윈터바텀,/r4cpuukDMG3xLS8tEaTV7X2IxnO.jpg,Directing,0.5881
176,Kieran O'Brien,/wKYN1MvjYIJTYtXVFtlqWK84SMp.jpg,Acting,1.3612
